full_id,osm_id,osm_type,admin_level,boundary,natural,highway,lanes,maxspeed,name,oneway,surface,tiger:cfcc,tiger:county,tiger:reviewed,cycleway:both,name_1,tiger:name_base,tiger:name_base_1,tiger:name_direction_suffix,destination,destination:ref,ref,tiger:name_direction_prefix,tiger:name_direction_prefix_1,bicycle,cycleway,name:etymology:wikidata,old_name,tiger:name_type,lanes:backward,sidewalk,trolley_wire,alt_name,bridge,layer,name_2,old_ref,hov:lanes:backward,lanes:forward,tiger:name_direction_suffix_1,turn:lanes:backward,turn:lanes:forward,hov:lanes:forward,waterway,cycleway:left,cycleway:right,horse,motor_vehicle,lanes:both_ways,turn:lanes:both_ways,name:left,name:right,junction,centre_turn_lane,is_in,turn:lanes,border_type,lit,tunnel
w428066853,"428066853",way,,,,secondary,"3",,Des Moines Memorial Drive South,,asphalt,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,"2",,,left|,,,,,,,,,,,,,,,,,
w428066854,"428066854",way,,,,secondary,"3",,Des Moines Memorial Drive South,,asphalt,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,"1",,left|,,,,,,,,,,,,,,,,,,
w428066855,"428066855",way,,,,secondary,"3",,Des Moines Memorial Drive South,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,"1",,left|,,,,,,,,,,,,,,,,,,
w428066856,"428066856",way,,,,secondary,"3",,Des Moines Memorial Drive South,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,"2",,,left|,,,,,,,,,,,,,,,,,
w428066857,"428066857",way,,,,secondary,"2",,Des Moines Memorial Drive South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428073754,"428073754",way,,,,primary,"3",40 mph,148th Avenue Northeast,yes,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||right,,,
w428073755,"428073755",way,,,,primary,"3",40 mph,148th Avenue Northeast,yes,asphalt,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left||,,,
w428073756,"428073756",way,,,,primary,"3",40 mph,148th Avenue Northeast,yes,paved,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||right,,,
w428073757,"428073757",way,,,,primary,"3",40 mph,148th Avenue Northeast,yes,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left||,,,
w428073758,"428073758",way,,,,primary,"4",40 mph,148th Avenue Northeast,yes,paved,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left|||right,,,
w428073759,"428073759",way,,,,primary,"2",40 mph,148th Avenue Northeast,yes,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428073761,"428073761",way,,,,primary,"3",40 mph,148th Avenue Northeast,yes,asphalt,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428073764,"428073764",way,,,,primary,"2",40 mph,148th Avenue Northeast,yes,paved,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428073767,"428073767",way,,,,primary,"6",40 mph,148th Avenue Northeast,,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,"3",,,,,,,,,"2",,||right,,,,,,,,"1",,,,,,,,,,
w428073768,"428073768",way,,,,primary,"2",40 mph,148th Avenue Northeast,yes,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428073948,"428073948",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"2",,,,,,,,,"3",,,||right,,,,,,,,,,,,,,,,,
w428073949,"428073949",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"2",,,,,,,,,"3",,,left||,,,,,,,,,,,,,,,,,
w428073950,"428073950",way,,,,secondary,"6",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"2",,,,,,,,,"4",,,left|||right,,,,,,,,,,,,,,,,,
w428073951,"428073951",way,,,,secondary,"4",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428073952,"428073952",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"3",,,,,,,,,"2",,left||,,,,,,,,,,,,,,,,,,
w428073954,"428073954",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"2",,,,,,,,,"2",,,,,,,,,,"1",left,,,,,,,,,
w428073972,"428073972",way,,,,primary,"5",40 mph,148th Avenue Northeast,,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,"2",,,,,,,,,"2",,,,,,,,,,"1",left,,,,,,,,,
w428073974,"428073974",way,,,,primary,"5",40 mph,148th Avenue Northeast,,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,"2",,,,,,,,,"2",,,,,,,,,,"1",left,,,,,,,,,
w428089795,"428089795",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"3",,,,,,,,,"2",,||right,,,,,,,,,,,,,,,,,,
w428089796,"428089796",way,,,,secondary,"4",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428089797,"428089797",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"3",,,,,,,,,"2",,left||,,,,,,,,,,,,,,,,,,
w428089798,"428089798",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"2",,,,,,,,,"3",,,left||,,,,,,,,,,,,,,,,,
w428089799,"428089799",way,,,,secondary,"4",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428089800,"428089800",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"3",,,,,,,,,"2",,left||right,,,,,,,,,,,,,,,,,,
w428089801,"428089801",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"2",,,,,,,,,"2",,,,,,,,,,"1",left,,,,,,,,,
w428089802,"428089802",way,,,,secondary,"4",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428089803,"428089803",way,,,,secondary,"4",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428089804,"428089804",way,,,,secondary,"5",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,"2",,,,,,,,,"3",,,left||,,,,,,,,,,,,,,,,,
w428089805,"428089805",way,,,,secondary,"4",35 mph,Southwest 43rd Street,,asphalt,A41,"King, WA",no,,South 180th Street,43rd,180th,,,,,SW,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428092919,"428092919",way,,,,secondary,"3",,Des Moines Memorial Drive South,,asphalt,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,"1",,left|,,,,,,,,,,,,,,,,,,
w428092920,"428092920",way,,,,secondary,"2",,Des Moines Memorial Drive South,,asphalt,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,"3",,,||right,,,,,,,,,,,,,,,,,
w428092921,"428092921",way,,,,secondary,"2",,Des Moines Memorial Drive South,,asphalt,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,"3",,,left||right,,,,,,,,,,,,,,,,,
w428092922,"428092922",way,,,,secondary,"2",,Des Moines Memorial Drive South,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428094143,"428094143",way,,,,secondary,"3",,Des Moines Memorial Drive South,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428094144,"428094144",way,,,,secondary,"3",,Des Moines Memorial Drive South,,asphalt,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,"1",,,through,,,,,,,,,,,,,,,,,
w428094377,"428094377",way,,,,secondary,"4",35 mph,North 145th Street,,asphalt,A31,"King, WA",,,,145th,,,,,,N,,,,,,St,"3",,,,,,,,,"1",,left||,,,,,,,,,,,,,,,,,,
w428094381,"428094381",way,,,,primary,"6",35 mph,North 145th Street,,asphalt,A31,"King, WA",,no,,145th,State Route 523,,,,WA 523,N,,,,,,St,"4",,,,,,,,,"2",,left|||right,,,,,,,,,,,,,,,,,,
w428243282,"428243282",way,,,,secondary,"3",35 mph,Juanita Drive Northeast,no,asphalt,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,"1",,left|,,,,,lane,,,,,,,,,,,,,
w428243283,"428243283",way,,,,secondary,"3",35 mph,Juanita Drive Northeast,no,asphalt,,,,,Juanita Drive Northeast,,,,,,,,,,,,,,"1",,,,,,,,,"2",,,|right,,,,lane,,,,,,,,,,,,,
w428243284,"428243284",way,,,,secondary,"3",35 mph,Juanita Drive Northeast,no,asphalt,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,"1",,,,,,,lane,,,"1",left,,,,,,,,,
w428246845,"428246845",way,,,,secondary,"3",25 mph,Martin Luther King Junior Way,,,,,,,,,,,,,,,,designated,lane,Q8027,Empire Way South,,"1",,,,,,,,,"2",,,left|,,,,,,,,,,,,,,,,,
w428246847,"428246847",way,,,,secondary,"3",25 mph,Martin Luther King Junior Way,,concrete,,,,,,,,,,,,,,designated,lane,Q8027,Empire Way South,,"2",,,,,,,,,"1",,left|,,,,,,,,,,,,,,,,,,
w428265090,"428265090",way,,,,secondary,"4",35 mph,South 277th Street,,,A41,"King, WA",no,,South 52nd Street Northeast,277th,52nd,,,,,S,S,,,,,,"2",,,,,"1",,,,"2",NE,|right,,,,,,,,,,,,,,,,,,
w428265093,"428265093",way,,,,secondary,"5",35 mph,South 277th Street,,,A41,"King, WA",no,,South 52nd Street Northeast,277th,52nd,,,,,S,S,,,,,,"2",,,,,"1",,,,"3",NE,|right,left||,,,,,,,,,,,,,,,,,
w428265096,"428265096",way,,,,secondary,"5",35 mph,South 277th Street,,,A41,"King, WA",no,,South 52nd Street Northeast,277th,52nd,,,,,S,S,,,,,,"2",,,,,"1",,,,"3",NE,,left||,,,,,,,,,,,,,,,,,
w428265099,"428265099",way,,,,secondary,,35 mph,South 277th Street,,,A41,"King, WA",no,,South 52nd Street Northeast,277th,52nd,,,,,S,S,,,,,,,,,,,"1",,,,,NE,,,,,,,,,,,,,,,,,,,
w428285402,"428285402",way,,,,primary,"5",35 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",no,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,"2",,,State Route 523,,,,,,"3",,,left||,,,,,,,,,,,,,,,,,
w428285404,"428285404",way,,,,primary,"4",35 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,,,,State Route 523,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,
w428285405,"428285405",way,,,,primary,"6",35 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",no,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,"4",,,State Route 523,,,,,,"2",,left|||right,,,,,,,,,,,,,,,,,,
w428285406,"428285406",way,,,,primary,"5",35 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",no,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,"3",,,State Route 523,,,,,,"2",,left||,,,,,,,,,,,,,,,,,,
w428317207,"428317207",way,,,,primary,"4",30 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",yes,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w428317208,"428317208",way,,,,primary,"5",30 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",yes,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,"2",both,,,,,,,,"2",,,,,,,,,,"1",left,,,,,,,,,
w428317254,"428317254",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w440126891,"440126891",way,"6",administrative,,,,,Greenwater River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,
w440126894,"440126894",way,"6",administrative,,,,,White River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,
w440127728,"440127728",way,"6",administrative,,,,,Greenwater River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,
w440136392,"440136392",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w440139226,"440139226",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w440139229,"440139229",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w444103214,"444103214",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w444103217,"444103217",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w444103218,"444103218",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446203021,"446203021",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446203025,"446203025",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446398167,"446398167",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446398168,"446398168",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446398169,"446398169",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446398170,"446398170",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446398172,"446398172",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446398173,"446398173",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446398174,"446398174",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446398175,"446398175",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446398176,"446398176",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446595961,"446595961",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446595962,"446595962",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446595963,"446595963",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446595964,"446595964",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446595965,"446595965",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446595967,"446595967",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446595968,"446595968",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446595969,"446595969",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446595970,"446595970",way,,,,tertiary,"2",35 mph,132nd Avenue Northeast,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446736632,"446736632",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446736633,"446736633",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w446736634,"446736634",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092403,"447092403",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092405,"447092405",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092406,"447092406",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092408,"447092408",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092410,"447092410",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092412,"447092412",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092414,"447092414",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092417,"447092417",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092418,"447092418",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092419,"447092419",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092420,"447092420",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092421,"447092421",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092422,"447092422",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447092424,"447092424",way,,,,secondary,"5",35 mph,Northeast 124th Street,,asphalt,A41,"King, WA",,,,124th,,,,,,NE,,designated,lane,,,,"2",,,,,,,,,"2",,,,,,,,,,"1",left,,,,,,,,,
w447093491,"447093491",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447105046,"447105046",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447105048,"447105048",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447105049,"447105049",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447105050,"447105050",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447105051,"447105051",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447105052,"447105052",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447107045,"447107045",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w447107049,"447107049",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w448895113,"448895113",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w465798917,"465798917",way,,,,secondary,"4",35 mph,North 145th Street,,,A31,"King, WA",,,,145th,,,,,,N,,designated,,,,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w465973020,"465973020",way,,,,primary,"5",35 mph,Northeast 145th Street,no,asphalt,A31,"King, WA",yes,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,"2",both,,,,,,,,"3",,,left||,,,,,,,,,,,,,,,,,
w465973028,"465973028",way,,,,primary,"4",30 mph,Northeast 145th Street,no,,A31,"King, WA",no,,,145th,State Route 523,,,,WA 523,NE,,,,,,Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w478927455,"478927455",way,"8",administrative,coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w478927456,"478927456",way,"8",administrative,coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w486249890,"486249890",way,,,,tertiary,"4",25 mph,Northeast 145th Street,,,A31,"King, WA",no,,,145th,,,,,,NE,,,,,,Street,"3",,,,,,,,,"1",,left|through|right,,,,,,,,,,,,,,,,,,
w517819465,"517819465",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w517830589,"517830589",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w518089317,"518089317",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w518840332,"518840332",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w518840335,"518840335",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w518840337,"518840337",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w518841091,"518841091",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w518842492,"518842492",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w518892059,"518892059",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w518903645,"518903645",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w518903647,"518903647",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w519192597,"519192597",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w523512868,"523512868",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w523512869,"523512869",way,,,,,,,White River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,no
w523512870,"523512870",way,,,,,,,White River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,no
w523512871,"523512871",way,,,,,,,White River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,
w523512874,"523512874",way,"6",administrative,,,,,White River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,
w523512877,"523512877",way,"6",administrative,,,,,White River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,,,,,,,,,,,,,,,no
w528175344,"528175344",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w528175345,"528175345",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w528242316,"528242316",way,,administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w535540393,"535540393",way,,,,tertiary,"2",25 mph,Martin Luther King Junior Way East,,,,,no,,,,,,,,,,,,,Q8027,Empire Way South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w548041206,"548041206",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w548041207,"548041207",way,"6",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w566458555,"566458555",way,,,,tertiary,"4",,Northeast Points Drive,,,A41,"King, WA",no,,,Points,,,,,,NE,,,,,,,"2",,,,,,,,,"2",,|merge_to_left,|right,,,,,,,,,,,,,,,,,
w566458556,"566458556",way,,,,tertiary,"2",,Northeast Points Drive,,asphalt,A41,"King, WA",no,,,Points,,NE,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w566477720,"566477720",way,,,,secondary,"4",,Northup Way,,,A41,"King, WA",no,,,Northup,,,,,,,,,,,,,,,,,,,,,,,,left|,merge_to_right|,,,,,,,,,,,,,,,,,
w566477724,"566477724",way,,,,secondary,"4",,Northup Way,,,A41,"King, WA",no,,,Northup,,,,,,,,,,,,,"2",,,,,,,,,"2",,left|,left|,,,,,,,,,,,,,,,,,
w569666380,"569666380",way,,,,secondary,"4",35 mph,North 145th Street,,asphalt,A31,"King, WA",,,,145th,,,,,,N,,,,,,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w569666381,"569666381",way,,,,secondary,"4",35 mph,North 145th Street,,asphalt,A31,"King, WA",,,,145th,,,,,,N,,,,,,St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
