full_id,osm_id,osm_type,admin_level,boundary,natural,highway,lanes,maxspeed,name,oneway,surface,tiger:cfcc,tiger:county,tiger:reviewed,cycleway:both,name_1,tiger:name_base,tiger:name_base_1,tiger:name_direction_suffix,destination,destination:ref,ref,tiger:name_direction_prefix,tiger:name_direction_prefix_1,bicycle,cycleway,name:etymology:wikidata,old_name,tiger:name_type,lanes:backward,sidewalk,trolley_wire,alt_name,bridge,layer,name_2,old_ref,hov:lanes:backward,lanes:forward,tiger:name_direction_suffix_1,turn:lanes:backward,turn:lanes:forward,hov:lanes:forward,waterway,cycleway:left,cycleway:right,horse,motor_vehicle,lanes:both_ways,turn:lanes:both_ways,name:left,name:right,junction,centre_turn_lane,is_in,turn:lanes,border_type,lit,tunnel
w362636444,"362636444",way,,,,secondary,"7",35 mph,South 277th Street,,paved,A41,"King, WA",,,,277th,52nd,,,,,S,S,designated,lane,,,,"3",,,South 52nd Street Northeast,yes,"2",,,,"4",NE,left|through|through,left|left|none|through,designated|||,,,,,,,,,,,,,,,,
w362636445,"362636445",way,,,,secondary,"7",35 mph,South 277th Street,,asphalt,A41,"King, WA",no,,,277th,52nd,,,,,S,S,designated,lane,,,,"4",,,South 52nd Street Northeast,,,,,designated|||,"3",NE,left|left|through|through,left|through|through,,,,,,,,,,,,,,,,,
w362636446,"362636446",way,,,,secondary,"6",35 mph,South 277th Street,,asphalt,A41,"King, WA",no,,,277th,52nd,,,,,S,S,designated,lane,,,,"2",,,South 52nd Street Northeast,,,,,,"4",NE,,through|through|through|right,,,,,,,,,,,,,,,,,
w363681893,"363681893",way,,,,secondary,"3",,Northup Way,,,A41,"King, WA",no,,,Northup,,,,,,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,,"1",left,,,,,,,,,
w363681894,"363681894",way,,,,secondary_link,"1",,,yes,,,,,,,,,,Northeast Points Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w363812450,"363812450",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w363812451,"363812451",way,,,,primary,"2",40 mph,148th Avenue Northeast,yes,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w363812457,"363812457",way,,,,primary,"2",40 mph,148th Avenue Northeast,yes,,A41,"King, WA",no,,,148th,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w364969426,"364969426",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w365213165,"365213165",way,,,,secondary,"2",35 mph,Des Moines Memorial Drive South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w365213166,"365213166",way,,,,secondary,"3",35 mph,Des Moines Memorial Drive South,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,"1",,left|,,,,,,,,,,,,,,,,,,
w365213167,"365213167",way,,,,secondary,"2",,Des Moines Memorial Drive South,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w368216912,"368216912",way,"8",administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
