,0
639,40118
640,29026
641,26656
642,27761
643,34277
644,36514
645,37979
646,28982
647,26681
648,15203
649,33515
650,17129
651,11485
652,6897
653,17996
654,28283
655,24682
656,31715
657,14913
658,25468
659,23758
660,47671
661,46201
662,58939
663,9271
664,34377
665,18241
666,33024
667,17376
668,8505
669,2827
670,50454
671,49429
672,36823
673,10178
674,4842
675,31435
676,44939
677,40107
678,37623
679,25142
680,44246
681,47394
682,36408
683,21316
684,26404
685,35582
686,55167
687,4505
688,31206
689,47936
690,14641
691,36791
692,73742
693,28348
694,48665
695,18638
696,16527
697,16689
698,52835
699,43813
700,17788
701,33720
702,56759
703,55452
704,27976
705,33149
706,25224
707,5793
708,11013
709,46647
710,24098
711,9484
712,5025
713,33584
714,34480
715,35492
716,15049
717,27345
718,34054
719,59039
720,47615
721,35854
722,19677
723,48911
724,8775
725,12389
726,20278
727,7768
728,12153
729,7440
730,46611
731,70744
732,6905
733,23506
734,21120
735,6871
736,27345
737,43493
738,26000
739,43569
740,19411
741,17601
742,37807
743,22033
744,21104
745,46954
746,48677
747,16450
748,8161
749,27106
750,15457
751,18822
752,35685
753,17109
754,17675
755,49039
756,22329
757,26252
758,10203
759,22150
760,15862
761,54430
762,32234
763,19419
764,12443
765,35025
766,30076
767,10579
768,9745
769,36698
770,9290
771,10413
772,10768
773,22789
774,4801
775,34727
776,24468
777,51866
778,16626
779,17233
780,47208
781,46759
782,34596
783,51517
784,16442
785,10213
786,22465
787,43832
788,46990
789,11599
790,34821
791,20526
792,16704
793,34603
794,10937
795,32334
796,38208
797,33949
798,31420
799,45208
800,18687
801,17330
802,17341
803,19219
804,3764
805,21735
806,36319
807,29751
808,21354
809,29278
810,72098
811,34267
812,33562
813,34079
814,36266
815,31699
816,32208
817,15906
818,13573
819,13573
820,55600
821,49126
822,8514
823,17689
824,22503
825,18469
826,33519
827,29927
828,15929
829,30276
830,32429
831,21594
832,57967
833,40871
834,20791
835,41645
836,33395
837,10535
838,23183
839,9330
840,37126
841,36287
842,9817
843,34619
844,33719
845,9733
846,29914
847,20323
848,24818
849,11025
850,25828
851,16615
852,22271
853,7751
854,35533
855,6713
856,40809
857,21592
858,20530
859,19485
860,17422
861,36883
862,19174
863,51898
864,48224
865,29267
866,32478
867,18616
868,47367
869,11583
870,37246
871,31577
872,26387
873,22773
874,8167
875,19970
876,22787
877,19381
878,5398
879,55341
880,5997
881,35006
882,26334
883,11049
884,4994
885,21349
886,44194
887,10212
888,41895
889,38397
890,15223
891,25163
892,32215
893,24544
894,17296
895,19465
896,10624
897,36389
898,21028
899,46031
900,33223
901,5670
902,22141
903,26135
904,32786
905,16529
906,34073
907,51450
908,22401
909,33089
910,39306
911,21469
912,4070
913,28575
914,36078
915,15500
916,64980
917,33363
918,34113
919,22821
920,70811
921,51310
922,36122
923,4719
924,19393
925,19393
926,13321
927,7631
928,18856
929,21669
930,33267
931,10032
932,32658
933,44708
934,24202
935,42579
936,41387
937,34558
938,34558
939,32333
940,43995
941,16022
942,15721
943,23280
944,72056
945,10899
946,34136
947,6694
948,31803
949,24598
950,44735
951,34036
952,48327
953,17006
954,22840
955,53893
956,32588
957,45523
958,25469
959,33946
960,43540
961,17399
962,9665
963,24365
964,7001
965,51888
966,50012
967,28435
968,33270
969,12769
970,46959
971,6534
972,23135
973,19483
974,32611
975,26857
976,34692
977,28755
978,34060
979,16733
980,11120
981,17356
982,50654
983,8560
984,3877
985,13488
986,5712
987,6375
988,28124
989,28378
990,33813
991,4993
992,42765
993,14373
994,15195
995,21444
996,19456
997,38876
998,21720
999,61717
1000,17472
1001,38379
1002,25972
1003,16689
1004,29657
1005,10138
1006,48769
1007,35007
1008,7711
1009,17998
1010,44581
1011,23214
1012,38715
1013,13573
1014,30531
1015,8525
1016,7064
1017,33304
1018,14790
1019,29394
1020,30423
